序號,測站,監測日期,監測時間,測站氣壓(hPa),溫度(℃),相對溼度(%),風向,風速(m/s),降水量(mm),日照時數(小時)
1084,臺北,2017/11/17,20:11:00,"1,006.50",26.5,68,南南西,0.3,0,-
1085,臺北,2017/11/17,19:11:00,"1,006.20",26.3,68,靜風,0,0,0
1086,臺北,2017/11/17,18:11:00,"1,005.90",26.2,69,北北西,0.6,0,0
1087,臺北,2017/11/17,17:11:00,"1,005.60",27.1,65,西,0.3,0,0
1088,臺北,2017/11/17,16:11:00,"1,005",27.7,62,北北西,1.4,0,0
1089,臺北,2017/11/17,15:11:00,"1,004.90",28.2,62,北,0.7,0,0.5
1090,臺北,2017/11/17,14:11:00,"1,005",30.5,62,西,0.9,0,1
1091,臺北,2017/11/17,13:11:00,"1,005.50",30.1,63,靜風,0.2,0,1
1092,臺北,2017/11/17,12:11:00,"1,006.90",29.4,62,西南,0.3,0,1
1093,臺北,2017/11/17,11:11:00,"1,007.90",28.1,66,西,0.8,0,1
1094,臺北,2017/11/17,10:11:00,"1,009",26.7,71,西南,0.4,0,0.1
1095,臺北,2017/11/17,09:11:00,"1,009.30",25.8,74,南南西,1,0,0.2
1096,臺北,2017/11/17,08:11:00,"1,009.30",24.1,77,東南,0.3,0,0
1097,臺北,2017/11/17,07:11:00,"1,009",23.9,77,南,1.1,0,0
1098,臺北,2017/11/17,06:11:00,"1,008.40",23.7,80,南,1.3,0,0
1099,臺北,2017/11/17,05:11:00,"1,008.20",24.1,79,南南西,1.1,0,-
1100,臺北,2017/11/17,04:11:00,"1,008.10",24,77,南南西,1.2,0,-
1101,臺北,2017/11/17,03:11:00,"1,008.60",24.2,74,南南東,1.3,0,-
1102,臺北,2017/11/17,02:11:00,"1,008.90",24.4,75,南,0.6,0,-
1103,臺北,2017/11/17,01:11:00,"1,009.30",24.5,75,南南西,1.2,0,-
1104,臺北,2017/11/17,00:11:00,"1,006.40",24.9,73,南南西,0.7,0,-
1105,臺北,2017/11/16,23:11:00,"1,009.10",25,73,北,1.5,0,-
1106,臺北,2017/11/16,22:11:00,"1,009.40",25.5,73,東北,2.3,0,-
1107,臺北,2017/11/16,21:11:00,"1,009.70",25.5,74,東北,2.2,0,-
1108,臺北,2017/11/16,20:11:00,"1,009.60",25.5,75,東北,2.3,0,-
1109,臺北,2017/11/16,19:11:00,"1,009.60",25.6,73,東北,4,0,0
1110,臺北,2017/11/16,18:11:00,"1,009.10",25.9,72,東北,4.8,0,0
1111,臺北,2017/11/16,17:11:00,"1,008.90",26.4,69,東北,4.3,0,0.6
1112,臺北,2017/11/16,16:11:00,"1,008.50",27.3,66,東北,3.1,0,1
1113,臺北,2017/11/16,15:11:00,"1,008.40",28.4,67,東北東,3.8,0,0.9
1114,臺北,2017/11/16,14:11:00,"1,009",28.5,66,東北,3.4,0,0.9
1115,臺北,2017/11/16,13:11:00,"1,009.80",28.2,69,東北,3.5,0,1
1116,臺北,2017/11/16,12:11:00,"1,010.80",27.5,69,東北,3.9,0,1
1117,臺北,2017/11/16,11:11:00,"1,012.10",27.3,70,東北,5.8,0,1
1118,臺北,2017/11/16,10:11:00,"1,012.80",26.5,73,東北,4.6,0,0.5
1119,臺北,2017/11/16,09:11:00,"1,013.50",25.7,77,東北,2.2,0,0.1
1120,臺北,2017/11/16,08:11:00,"1,012.80",24.5,82,東北,4.1,0,0.2
1121,臺北,2017/11/16,07:11:00,"1,012.40",23.4,82,東北,3.1,0,0
1122,臺北,2017/11/16,06:11:00,"1,012",23,83,東北,3.4,0,0
1123,臺北,2017/11/16,05:11:00,"1,011.50",23.1,83,東北東,2.9,0,-
1124,臺北,2017/11/16,04:11:00,"1,011.70",23.3,83,東北,3,0,-
1125,臺北,2017/11/16,03:11:00,"1,011.70",23.4,81,東北,3,0,-
1126,臺北,2017/11/16,02:11:00,"1,012",23.4,80,東北東,2.6,0,-
1127,臺北,2017/11/16,01:11:00,"1,012.30",23.5,77,東北,4.3,0,-
1128,臺北,2017/11/16,00:11:00,"1,009.50",24.6,75,南南西,1.1,0,-
1129,臺北,2017/11/15,23:11:00,"1,013.40",23.7,75,東北東,2.9,0,-
1130,臺北,2017/11/15,22:11:00,"1,013.80",23.8,75,東北東,2.9,0,-
1131,臺北,2017/11/15,21:11:00,"1,013.60",23.8,74,東北東,3,0,-
1132,臺北,2017/11/15,20:11:00,"1,013.20",23.7,73,東北東,2.9,0,-
1133,臺北,2017/11/15,19:11:00,"1,013",23.8,71,東北東,3.4,0,0
1134,臺北,2017/11/15,18:11:00,"1,012.40",23.7,76,東北東,4.1,0,0
1135,臺北,2017/11/15,17:11:00,"1,012.80",24,74,東北東,4,0,0
1136,臺北,2017/11/15,16:11:00,"1,012.60",24.1,75,東北,3.4,0,0
1137,臺北,2017/11/15,15:11:00,"1,011.70",24.1,76,東,3.1,0,0
1138,臺北,2017/11/15,14:11:00,"1,012.20",24.2,67,東北,4.7,0,0
1139,臺北,2017/11/15,13:11:00,"1,012.10",24.9,65,東北,4.2,0,0.1
1140,臺北,2017/11/15,12:11:00,"1,012.60",25.3,64,東北,3,0,0.1
1141,臺北,2017/11/15,11:11:00,"1,013.70",25.1,67,東北東,3.8,0,0
1142,臺北,2017/11/15,10:11:00,"1,014.30",24.2,70,東北,2.9,0,0.1
1143,臺北,2017/11/15,09:11:00,"1,014.40",24,71,東北東,4.6,0,0.6
1144,臺北,2017/11/15,08:11:00,"1,014.40",22.7,75,東,2.5,0,0
1145,臺北,2017/11/15,07:11:00,"1,013.60",22.5,74,東北,3.7,0,0
1146,臺北,2017/11/15,06:11:00,"1,013",22.3,76,東北,2.4,0,0
1147,臺北,2017/11/15,05:11:00,"1,012.60",22.3,76,東北東,2.9,0,-
1148,臺北,2017/11/15,04:11:00,"1,012.20",22.3,77,東北東,2.6,0,-
1149,臺北,2017/11/15,03:11:00,"1,012.30",22.3,76,東,3,0,-
1150,臺北,2017/11/15,02:11:00,"1,012.40",22.2,77,東北東,3,0,-
1151,臺北,2017/11/15,01:11:00,"1,012.40",22.4,75,東,2,0,-
1152,臺北,2017/11/15,00:11:00,"1,012.60",23.5,77,東北東,3.1,0,-
1153,臺北,2017/11/14,23:11:00,"1,012.70",22.2,76,東北,2.9,0,-
1154,臺北,2017/11/14,22:11:00,"1,012.70",22.4,74,東北,1.6,0,-
1155,臺北,2017/11/14,21:11:00,"1,012.90",22.3,75,東北,2.2,0,-
1156,臺北,2017/11/14,20:11:00,"1,013",22,77,東北,3.5,0,-
1157,臺北,2017/11/14,19:11:00,"1,012.60",22.5,76,東北,3.7,0,0
1158,臺北,2017/11/14,18:11:00,"1,011.70",22.5,74,東北,4.3,0,0
1159,臺北,2017/11/14,17:11:00,"1,011.20",22.5,76,東北,4.2,0,0
1160,臺北,2017/11/14,16:11:00,"1,010.70",23.2,75,東北東,2.9,0,0
1161,臺北,2017/11/14,15:11:00,"1,010.10",23.9,73,東北,4.6,0,0
1162,臺北,2017/11/14,14:11:00,"1,010.10",23.5,76,東北,4.7,0,0
1163,臺北,2017/11/14,13:11:00,"1,010.30",24,75,東北,4.5,0,0
1164,臺北,2017/11/14,12:11:00,"1,011.20",24.2,77,東北,3.7,0,0.1
1165,臺北,2017/11/14,11:11:00,"1,012",23.8,81,東北東,2.3,0,0
1166,臺北,2017/11/14,10:11:00,"1,012.60",23.5,81,東北,2.5,0,0
1167,臺北,2017/11/14,09:11:00,"1,012.80",24.1,80,東,1,0,0
1168,臺北,2017/11/14,08:11:00,"1,012.60",23,81,東北,1.6,0,0
1169,臺北,2017/11/14,07:11:00,"1,011.60",22.5,83,東北,1.1,0,0
1170,臺北,2017/11/14,06:11:00,"1,011.30",22.4,81,東,1.7,1,0
1171,臺北,2017/11/14,05:11:00,"1,010.70",22.6,82,東,1,0,-
1172,臺北,2017/11/14,04:11:00,"1,009.50",22.4,82,東,1.1,1,-
1173,臺北,2017/11/14,03:11:00,"1,009.20",22.6,80,東,1.6,1,-
1174,臺北,2017/11/14,02:11:00,"1,009",23.2,77,東北東,1.6,0,-
1175,臺北,2017/11/14,01:11:00,"1,009.10",23.2,76,東北東,2.7,0,-
1176,臺北,2017/11/14,00:11:00,"1,012.50",22.3,76,東,2.2,0,-
1177,臺北,2017/11/13,23:11:00,"1,009.40",23.4,77,東北,3.8,0,-
1178,臺北,2017/11/13,22:11:00,"1,009.40",23.4,78,東北,3.2,0,-
1179,臺北,2017/11/13,21:11:00,"1,009.80",23.2,79,東北,1.4,0,-
1180,臺北,2017/11/13,20:11:00,"1,009.30",23.1,81,東北,2.9,0,-
1181,臺北,2017/11/13,19:11:00,"1,009.10",23,81,東北東,3.3,1,0
1182,臺北,2017/11/13,18:11:00,"1,009.60",22.9,82,東北,2.1,3,0
1183,臺北,2017/11/13,17:11:00,"1,009",23.2,81,東,0.5,1,0
1184,臺北,2017/11/13,16:11:00,"1,008.40",23.2,80,東北,2.7,3,0
1185,臺北,2017/11/13,15:11:00,"1,008.20",23.6,80,北,2.2,1,0
1186,臺北,2017/11/13,14:11:00,"1,008.30",24.1,78,北北東,0.8,0,0
1187,臺北,2017/11/13,13:11:00,"1,009",24,78,東南,0.5,0,0
1188,臺北,2017/11/13,12:11:00,"1,009.70",24.2,78,南南西,1.2,0,0
1189,臺北,2017/11/13,11:11:00,"1,010.60",23.9,79,東,1.4,0,0
1190,臺北,2017/11/13,10:11:00,"1,011.40",23.1,81,東北東,2,0,0
1191,臺北,2017/11/13,09:11:00,"1,011.40",22.5,83,東北,2.3,0,0
1192,臺北,2017/11/13,08:11:00,"1,011.20",22.4,83,東,2.3,0,0
1193,臺北,2017/11/13,07:11:00,"1,011",21.9,84,東,1.1,0,0
1194,臺北,2017/11/13,06:11:00,"1,010.80",21.5,84,南,0.3,1,0
1195,臺北,2017/11/13,05:11:00,"1,009.90",21.2,84,東,1.3,9,-
1196,臺北,2017/11/13,04:11:00,"1,010.30",21.5,84,南,0.9,8,-
1197,臺北,2017/11/13,03:11:00,"1,010.30",21.6,83,東南,1.1,4,-
1198,臺北,2017/11/13,02:11:00,"1,010.50",21.8,82,東,2,1,-
1199,臺北,2017/11/13,01:11:00,"1,010.80",21.7,82,東,2.6,2,-
1200,臺北,2017/11/13,00:11:00,"1,009.20",23.1,76,東北,2.8,0,-
1201,臺北,2017/11/12,23:11:00,"1,011.80",22,79,東北,2.2,0,-
1202,臺北,2017/11/12,22:11:00,"1,011.80",22.2,77,東北,2.7,0,-
1203,臺北,2017/11/12,21:11:00,"1,011.80",22.3,77,東北東,3.4,0,-
1204,臺北,2017/11/12,20:11:00,"1,011.70",22.1,77,東北,3.5,0,-
1205,臺北,2017/11/12,19:11:00,"1,011.30",22,76,東北,5,0,0
1206,臺北,2017/11/12,18:11:00,"1,010.90",21.8,77,東北,4.6,0,0
1207,臺北,2017/11/12,17:11:00,"1,010.90",21.3,78,東北,3.5,0,0
1208,臺北,2017/11/12,16:11:00,"1,010.80",21.5,77,東北,3.6,0,0
1209,臺北,2017/11/12,15:11:00,"1,011",22,75,東北東,3.6,0,0
1210,臺北,2017/11/12,14:11:00,"1,011.20",22.4,74,東北,4,0,0
1211,臺北,2017/11/12,13:11:00,"1,011.60",22.1,75,東北東,5.7,0,0.1
1212,臺北,2017/11/12,12:11:00,"1,012.20",22.9,75,東北東,4.2,0,0.1
1213,臺北,2017/11/12,11:11:00,"1,013",22.7,77,東北,3.7,0,0
1214,臺北,2017/11/12,10:11:00,"1,013.40",21.9,78,東北,4.3,0,0
1215,臺北,2017/11/12,09:11:00,"1,013.60",21.6,79,東北東,3.5,0,0
1216,臺北,2017/11/12,08:11:00,"1,013.30",20.8,81,東北,3.7,0,0
1217,臺北,2017/11/12,07:11:00,"1,012.70",20.9,80,東北東,3,0,0
1218,臺北,2017/11/12,06:11:00,"1,012.30",20.9,80,東,2.3,0,0
1219,臺北,2017/11/12,05:11:00,"1,011.90",20.8,80,東北東,3.8,0,-
1220,臺北,2017/11/12,04:11:00,"1,011.70",20.7,81,東北,3.8,0,-
1221,臺北,2017/11/12,03:11:00,"1,012",20.6,82,東北,3.6,0,-
1222,臺北,2017/11/12,02:11:00,"1,012.10",20.4,82,東北東,3.1,0,-
1223,臺北,2017/11/12,01:11:00,"1,012.70",20.5,81,東北,4,0,-
1224,臺北,2017/11/12,00:11:00,"1,011.50",21.7,82,東北,2.5,2,-
1225,臺北,2017/11/11,23:11:00,"1,013.70",20.6,80,東北東,3.1,0,-
1226,臺北,2017/11/11,22:11:00,"1,014.10",20.7,80,東北,3.5,0,-
1227,臺北,2017/11/11,21:11:00,"1,014.10",21,81,東北東,3.6,0,-
1228,臺北,2017/11/11,20:11:00,"1,014.10",20.9,80,東北東,2.5,0,-
1229,臺北,2017/11/11,19:11:00,"1,013.90",20.7,76,東北東,2.6,1,0
1230,臺北,2017/11/11,18:11:00,"1,013.70",21.4,75,東北,4.4,0,0
1231,臺北,2017/11/11,17:11:00,"1,013.60",21.8,73,東北,3.6,0,0
1232,臺北,2017/11/11,16:11:00,"1,013.10",22,75,東北,4,0,0
1233,臺北,2017/11/11,15:11:00,"1,012.80",22,77,東北東,2.8,0,0
1234,臺北,2017/11/11,14:11:00,"1,013",21.7,77,東北東,2.9,0,0
1235,臺北,2017/11/11,13:11:00,"1,013.20",21.9,74,東北,3.6,0,0
1236,臺北,2017/11/11,12:11:00,"1,014",21.8,76,東北,3.9,0,0
1237,臺北,2017/11/11,11:11:00,"1,014.60",21.9,78,東北,3.6,0,0
1238,臺北,2017/11/11,10:11:00,"1,014.70",22,78,東北東,3,0,0
1239,臺北,2017/11/11,09:11:00,"1,014.60",22.1,77,東,3.2,0,0
1240,臺北,2017/11/11,08:11:00,"1,013.90",22.5,75,東北,4,0,0
1241,臺北,2017/11/11,07:11:00,"1,013.40",22.5,77,東北,4.2,0,0
1242,臺北,2017/11/11,06:11:00,"1,012.60",22.8,75,東北,5,0,0
1243,臺北,2017/11/11,05:11:00,"1,012",23.1,73,東北,4.1,0,-
1244,臺北,2017/11/11,04:11:00,"1,011.40",23.9,75,東北,4.2,0,-
1245,臺北,2017/11/11,03:11:00,"1,011.20",24.7,79,東北,3.4,0,-
1246,臺北,2017/11/11,02:11:00,"1,011.10",24.8,77,東北,2.7,0,-
1247,臺北,2017/11/11,01:11:00,"1,011.40",24.7,78,東北,3.4,0,-
1248,臺北,2017/11/11,00:11:00,"1,013.20",20.6,81,東北東,2.7,0,-
1249,臺北,2017/11/10,23:11:00,"1,012",25.3,75,東北,1.8,0,-
1250,臺北,2017/11/10,22:11:00,"1,011.80",26.3,70,東北,2.8,0,-
1251,臺北,2017/11/10,21:11:00,"1,011.60",26.3,71,東北,2.9,0,-
1252,臺北,2017/11/10,20:11:00,"1,011.50",26.6,71,東北,3.9,0,-
1253,臺北,2017/11/10,19:11:00,"1,011",26.9,69,東北,2.2,0,0
1254,臺北,2017/11/10,18:11:00,"1,010.40",27.3,67,東北,2.9,0,0
1255,臺北,2017/11/10,17:11:00,"1,009.80",28.4,64,東北,3.2,0,0.1
1256,臺北,2017/11/10,16:11:00,"1,009.20",29.2,62,東北,1.6,0,0.6
1257,臺北,2017/11/10,15:11:00,"1,008.90",30.3,60,東北,3.3,0,0.6
1258,臺北,2017/11/10,14:11:00,"1,008.80",31.5,55,東北東,1.3,0,0.8
1259,臺北,2017/11/10,13:11:00,"1,009.20",31,56,東,2,0,1
1260,臺北,2017/11/10,12:11:00,"1,009.70",30.4,57,東,2.7,0,0.9
1261,臺北,2017/11/10,11:11:00,"1,010.40",29.9,60,東北東,2.2,0,0.7
1262,臺北,2017/11/10,10:11:00,"1,011.10",29.5,63,東北,2.8,0,0.9
1263,臺北,2017/11/10,09:11:00,"1,011.70",27.6,67,東北東,4,0,1
1264,臺北,2017/11/10,08:11:00,"1,011.60",26,73,東北,3,0,1
1265,臺北,2017/11/10,07:11:00,"1,011.30",24.1,77,東北,3.2,0,0.3
1266,臺北,2017/11/10,06:11:00,"1,011",24,76,東北,3.7,0,0
1267,臺北,2017/11/10,05:11:00,"1,010.40",24.1,76,東北,2.7,0,-
1268,臺北,2017/11/10,04:11:00,"1,010.10",24.1,78,東北,3.1,0,-
1269,臺北,2017/11/10,03:11:00,"1,010.20",24.2,76,東北,4.4,0,-
1270,臺北,2017/11/10,02:11:00,"1,010.50",24.3,75,東北,4.3,0,-
1271,臺北,2017/11/10,01:11:00,"1,010.80",24.5,73,東北,4.8,0,-
1272,臺北,2017/11/10,00:11:00,"1,011.60",25.1,76,東北,2.6,0,-
1273,臺北,2017/11/9,23:11:00,"1,011.80",25,72,東北東,3.3,0,-
1274,臺北,2017/11/9,22:11:00,"1,012.20",24.3,77,東北,4.8,0,-
1275,臺北,2017/11/9,21:11:00,"1,012.40",24.1,78,東北,5,0,-
1276,臺北,2017/11/9,20:11:00,"1,012.70",23.9,79,東北,4.1,0,-
1277,臺北,2017/11/9,19:11:00,"1,012.60",23.8,79,東北,5.2,0,0
1278,臺北,2017/11/9,18:11:00,"1,012.20",23.8,77,東北,4.8,0,0
1279,臺北,2017/11/9,17:11:00,"1,012",23.8,76,東北,4.7,0,0
1280,臺北,2017/11/9,16:11:00,"1,011.90",23.7,77,東北,5.7,0,0.1
1281,臺北,2017/11/9,15:11:00,"1,011.60",24.3,76,東北,5,0,0.1
1282,臺北,2017/11/9,14:11:00,"1,012.10",23.8,78,東北,5.6,0,0
1283,臺北,2017/11/9,13:11:00,"1,012.50",23.7,78,東北,5.4,0,0
1284,臺北,2017/11/9,12:11:00,"1,013.30",24.1,76,東北東,5.2,0,0
1285,臺北,2017/11/9,11:11:00,"1,013.80",24.8,76,東北東,4,0,0.1
1286,臺北,2017/11/9,10:11:00,"1,014.50",23.2,81,東北東,3.3,0,0
1287,臺北,2017/11/9,09:11:00,"1,014.70",23,82,東北,3.8,0,0
1288,臺北,2017/11/9,08:11:00,"1,014.60",22.6,83,東北,3.8,0,0
1289,臺北,2017/11/9,07:11:00,"1,014.10",22.3,83,東北東,3.3,0,0
1290,臺北,2017/11/9,06:11:00,"1,013.80",22.3,82,東北,4.3,0,0
1291,臺北,2017/11/9,05:11:00,"1,013.20",22.2,83,東北,3.8,0,-
1292,臺北,2017/11/9,04:11:00,"1,013",22.2,81,東北東,3.2,0,-
1293,臺北,2017/11/9,03:11:00,"1,013.20",22.5,80,東北東,2.3,0,-
1294,臺北,2017/11/9,02:11:00,"1,013.20",22.9,78,東北東,3,0,-
1295,臺北,2017/11/9,01:11:00,"1,013.70",22.9,79,東北東,3.2,0,-
1296,臺北,2017/11/9,00:11:00,"1,011.30",24.7,73,東北,5.6,0,-
1297,臺北,2017/11/8,23:11:00,"1,014.30",22.7,79,東北東,3.8,0,-
1298,臺北,2017/11/8,22:11:00,"1,014.40",23.1,76,東北東,4.5,0,-
1299,臺北,2017/11/8,21:11:00,"1,014.70",23.3,74,東北,2.8,0,-
1300,臺北,2017/11/8,20:11:00,"1,014.60",23.4,74,東北,3.6,0,-
1301,臺北,2017/11/8,19:11:00,"1,014.30",23.3,74,東北,3.6,0,0
1302,臺北,2017/11/8,18:11:00,"1,013.70",23.4,75,東北,3.2,0,0
1303,臺北,2017/11/8,17:11:00,"1,013.20",23.4,75,東北,3.4,0,0
1304,臺北,2017/11/8,16:11:00,"1,013",24.5,73,東北,3.7,0,0
1305,臺北,2017/11/8,15:11:00,"1,012.60",24.6,74,東北,3.5,0,0
1306,臺北,2017/11/8,14:11:00,"1,012.40",25.1,72,東北,3.9,0,0
1307,臺北,2017/11/8,13:11:00,"1,012.60",25.5,73,東北,4,0,0.1
1308,臺北,2017/11/8,12:11:00,"1,013.20",24.9,75,東北,4.6,0,0
1309,臺北,2017/11/8,11:11:00,"1,013.80",24.8,76,東北,3.9,0,0.1
1310,臺北,2017/11/8,10:11:00,"1,014.50",24.1,78,東北,3.8,0,0
1311,臺北,2017/11/8,09:11:00,"1,014.80",23.3,80,東北東,3,0,0
1312,臺北,2017/11/8,08:11:00,"1,014.40",22.8,81,東北,3.9,0,0
1313,臺北,2017/11/8,07:11:00,"1,014",22.9,80,東北,2.9,0,0
1314,臺北,2017/11/8,06:11:00,"1,013.40",22.9,78,東北,3,0,0
1315,臺北,2017/11/8,05:11:00,"1,013.20",23.4,75,東北東,1.8,0,-
1316,臺北,2017/11/8,04:11:00,"1,013",23.8,77,東北東,0.7,0,-
1317,臺北,2017/11/8,03:11:00,"1,013",23.8,82,東,1.8,0,-
1318,臺北,2017/11/8,02:11:00,"1,013.20",23.9,82,東,1.1,0,-
1319,臺北,2017/11/8,01:11:00,"1,013.40",24.2,80,東北,1.7,0,-
1320,臺北,2017/11/8,00:11:00,"1,013.80",22.8,80,東北,3.5,0,-
1321,臺北,2017/11/7,23:11:00,"1,013.80",24.7,77,東北,1.1,0,-
1322,臺北,2017/11/7,22:11:00,"1,013.80",25.2,74,靜風,0.1,0,-
1323,臺北,2017/11/7,21:11:00,"1,013.30",25.1,73,西,0.3,0,-
1324,臺北,2017/11/7,20:11:00,"1,013",25.5,74,西,0.9,0,-
1325,臺北,2017/11/7,19:11:00,"1,012.50",26.7,72,西北西,1.4,0,0
1326,臺北,2017/11/7,18:11:00,"1,011.60",27.2,67,西,0.9,0,0
1327,臺北,2017/11/7,17:11:00,"1,010.80",27.6,67,西,0.4,0,0
1328,臺北,2017/11/7,16:11:00,"1,010",28.4,65,西北西,0.7,0,0.4
1329,臺北,2017/11/7,15:11:00,"1,009.50",30.3,62,西北西,1.1,0,0.7
1330,臺北,2017/11/7,14:11:00,"1,009.60",31.1,60,西北,0.6,0,0.6
1331,臺北,2017/11/7,13:11:00,"1,009.80",31.7,59,西北,0.4,0,0.4
1332,臺北,2017/11/7,12:11:00,"1,010.40",30.1,59,東,1.1,0,0.1
1333,臺北,2017/11/7,11:11:00,"1,011",29.9,59,東,2.9,0,0
1334,臺北,2017/11/7,10:11:00,"1,011.80",30,58,東,2.2,0,0.3
1335,臺北,2017/11/7,09:11:00,"1,012",29,66,東北東,2.3,0,0.3
1336,臺北,2017/11/7,08:11:00,"1,011.90",27.9,70,東北東,3.4,0,1
1337,臺北,2017/11/7,07:11:00,"1,011.60",26.4,72,東北,2.8,0,0.4
1338,臺北,2017/11/7,06:11:00,"1,011.30",26.6,70,東北東,2.4,0,0
1339,臺北,2017/11/7,05:11:00,"1,010.90",27.1,68,東北東,4,0,-
1340,臺北,2017/11/7,04:11:00,"1,010.60",26.8,69,東北東,3.9,0,-
1341,臺北,2017/11/7,03:11:00,"1,010.70",26.3,74,東北東,2.6,0,-
1342,臺北,2017/11/7,02:11:00,"1,010.90",26.3,74,北北東,2.3,0,-
1343,臺北,2017/11/7,01:11:00,"1,011.10",26.1,75,東北,3.1,0,-
1344,臺北,2017/11/7,00:11:00,"1,013.40",24.5,77,西,0.9,0,-
1345,臺北,2017/11/6,23:11:00,"1,011.20",25.8,77,東北,4,0,-
1346,臺北,2017/11/6,22:11:00,"1,012.20",25.5,78,東北,2.5,1,-
1347,臺北,2017/11/6,21:11:00,"1,012.20",25.6,74,東北,3.7,0,-
1348,臺北,2017/11/6,20:11:00,"1,011.80",26.1,71,東北,3.9,0,-
1349,臺北,2017/11/6,19:11:00,"1,011.50",26.5,69,東北,4,0,0
1350,臺北,2017/11/6,18:11:00,"1,011.30",26.5,68,東北,2.8,0,0
1351,臺北,2017/11/6,17:11:00,"1,011",27.1,64,東北東,3,0,0
1352,臺北,2017/11/6,16:11:00,"1,010.90",28,61,東北東,3.7,0,0
1353,臺北,2017/11/6,15:11:00,"1,010.60",28.3,62,東北,3,0,0
1354,臺北,2017/11/6,14:11:00,"1,010.70",28.2,60,東北東,2.8,0,0
1355,臺北,2017/11/6,13:11:00,"1,010.80",28.1,59,東北東,2,0,0
1356,臺北,2017/11/6,12:11:00,"1,011.30",28.2,58,東,3.5,0,0.2
1357,臺北,2017/11/6,11:11:00,"1,012.40",27.9,61,東北東,4.2,0,0.4
1358,臺北,2017/11/6,10:11:00,"1,012.90",27.1,65,東北,6.7,0,1
1359,臺北,2017/11/6,09:11:00,"1,013.80",25.9,68,東北,5.4,0,0.6
1360,臺北,2017/11/6,08:11:00,"1,013.70",24.6,71,東北,3.7,0,0
1361,臺北,2017/11/6,07:11:00,"1,013.30",23.6,72,東北,3.1,0,0
1362,臺北,2017/11/6,06:11:00,"1,012.70",23,73,東北,3.6,0,0
1363,臺北,2017/11/6,05:11:00,"1,012.90",23.1,72,東北,5.2,0,-
1364,臺北,2017/11/6,04:11:00,"1,013",23,72,東北,4.8,0,-
1365,臺北,2017/11/6,03:11:00,"1,013",23,71,東北,5,0,-
1366,臺北,2017/11/6,02:11:00,"1,013.50",22.9,73,東北,5.3,0,-
1367,臺北,2017/11/6,01:11:00,"1,014.10",22.4,76,東北,6.2,0,-
1368,臺北,2017/11/6,00:11:00,"1,011",26.1,75,東北,3.8,0,-
1369,臺北,2017/11/5,23:11:00,"1,015.30",22,77,東北,4.8,0,-
1370,臺北,2017/11/5,22:11:00,"1,015.90",21.8,78,東北,4.5,0,-
1371,臺北,2017/11/5,21:11:00,"1,016.30",21.2,80,東北,4.8,0,-
1372,臺北,2017/11/5,20:11:00,"1,016.40",21.2,78,東北東,4.4,0,-
1373,臺北,2017/11/5,19:11:00,"1,016.40",20.9,79,東北東,3.7,0,0
1374,臺北,2017/11/5,18:11:00,"1,016.10",20.9,78,東北,5.2,0,0
1375,臺北,2017/11/5,17:11:00,"1,016.20",21.3,74,東北,5,0,0
1376,臺北,2017/11/5,16:11:00,"1,016",21.6,73,東北,5.6,0,0
1377,臺北,2017/11/5,15:11:00,"1,015.60",21.6,74,東北,6.1,0,0
1378,臺北,2017/11/5,14:11:00,"1,015.80",21.6,75,東北,5.5,0,0
1379,臺北,2017/11/5,13:11:00,"1,016.50",21.2,74,東北,5.9,0,0
1380,臺北,2017/11/5,12:11:00,"1,017.10",21.4,72,東北東,6.2,0,0
1381,臺北,2017/11/5,11:11:00,"1,017.80",21.2,73,東北,4.8,0,0
1382,臺北,2017/11/5,10:11:00,"1,018.80",20.9,73,東北,5,0,0
1383,臺北,2017/11/5,09:11:00,"1,018.90",20.8,72,東北,5.8,0,0
1384,臺北,2017/11/5,08:11:00,"1,018.60",20,77,東北,5.8,0,0
1385,臺北,2017/11/5,07:11:00,"1,018.20",19.3,78,東北,4.5,0,0
1386,臺北,2017/11/5,06:11:00,"1,018",19,77,東北,4.9,0,0
1387,臺北,2017/11/5,05:11:00,"1,017.70",19.2,74,東北,4.7,0,-
1388,臺北,2017/11/5,04:11:00,"1,017.50",19.4,73,東北,3.9,0,-
1389,臺北,2017/11/5,03:11:00,"1,018.10",19.4,73,東北,3.8,0,-
1390,臺北,2017/11/5,02:11:00,"1,018.50",19.6,71,東北東,4.9,0,-
1391,臺北,2017/11/5,01:11:00,"1,019.40",19.8,70,東北東,3.9,0,-
1392,臺北,2017/11/5,00:11:00,"1,014.90",22,77,東北,3.9,0,-
1393,臺北,2017/11/4,23:11:00,"1,020.40",18.3,81,東北,5.3,0,-
1394,臺北,2017/11/4,22:11:00,"1,020.80",19.4,71,東北東,4.1,0,-
1395,臺北,2017/11/4,21:11:00,"1,021",18.2,82,東北,4.5,0,-
1396,臺北,2017/11/4,20:11:00,"1,021.40",18.1,80,東北,4.6,0,-
1397,臺北,2017/11/4,19:11:00,"1,021.20",17.8,80,東北,4.6,0,0
1398,臺北,2017/11/4,18:11:00,"1,021",17.9,80,東北,4.5,0,0
1399,臺北,2017/11/4,17:11:00,"1,020.60",18.6,76,東北東,3.9,0,0
1400,臺北,2017/11/4,16:11:00,"1,020.40",19.4,70,東北,5.1,0,0
1401,臺北,2017/11/4,15:11:00,"1,019.90",19.2,73,東北東,4,0,0
1402,臺北,2017/11/4,14:11:00,"1,019.80",19.3,74,東北,6.5,0,0
