序號,測站氣壓(hPa),溫度(℃),相對溼度(%),風向,風速(m/s)
1811,1008.5,26.5,76,3,3.4
1812,1009.3,26.2,80,3,3.7
1813,1009.9,26.2,80,4,1.4
1814,1010.5,26.0,80,4,2.1
1815,1010.5,26.7,77,3,2.5
1816,1010.3,26.5,79,4,0.3
1817,1010.2,25.6,81,4,1.0
1818,1009.5,25.1,84,3,1.1
1819,1009.1,24.9,85,2,0.5
1820,1009.0,24.7,85,5,1.5
1821,1009.1,24.8,80,3,3.1
1822,1009.5,25.4,80,6,1.6
1823,1009.9,25.5,80,5,2.0
1824,1009.6,24.0,85,4,2.5
1825,1010.8,25.7,78,4,2.6
1826,1010.8,25.8,77,3,3.3
1827,1010.7,26.3,75,3,2.7
1828,1010.7,26.4,74,3,4.2
1829,1010.1,26.4,76,2,2.9
1830,1009.7,26.5,75,3,2.8
1831,1009.3,26.9,74,3,2.7
1832,1008.9,27.4,72,3,5.0
1833,1008.6,27.5,73,3,4.7
1834,1008.6,28.2,71,3,3.8
1835,1009.3,29.2,71,3,4.3
1836,1010.0,29.0,75,3,4.3
1837,1011.1,26.8,85,10,1.4
1838,1011.5,26.0,86,5,1.2
1839,1011.6,25.6,87,5,1.7
1840,1011.2,25.6,85,4,1.9
1841,1010.8,25.4,85,3,2.2
1842,1010.3,25.4,83,3,3.3
1843,1009.7,25.8,83,3,3.5
1844,1009.2,25.7,84,3,3.6
1845,1009.4,25.6,85,3,3.6
1846,1009.5,25.6,85,3,4.1
1847,1009.5,26.5,80,3,3.4
1848,1010.5,25.4,80,4,2.6
1849,1009.6,27.1,78,3,4.7
1850,1009.2,27.5,77,3,4.8
1851,1008.8,27.8,77,3,4.3
1852,1008.4,28.6,75,3,3.6
1853,1007.6,28.9,73,3,5.3
1854,1006.9,29.4,68,3,5.0
1855,1006.3,30.4,61,4,4.1
1856,1006.0,30.9,60,4,4.5
1857,1005.5,31.2,60,4,3.3
1858,1005.3,31.1,66,12,1.0
1859,1005.7,31.5,68,14,1.9
1860,1006.1,32.4,62,8,0.7
1861,1007.1,31.8,64,19,0.6
1862,1007.7,30.4,72,11,0.9
1863,1008.0,29.2,81,3,0.3
1864,1007.9,27.3,91,7,0.3
1865,1007.4,24.9,91,9,0.4
1866,1007.0,24.4,91,6,0.5
1867,1006.3,24.5,92,7,0.6
1868,1006.2,24.7,92,10,1.0
1869,1006.3,24.8,92,6,0.7
1870,1006.4,25.0,92,8,0.6
1871,1006.5,25.1,93,10,0.7
1872,1009.5,26.8,80,3,3.4
1873,1006.9,25.6,93,10,1.0
1874,1006.9,25.6,92,5,0.9
1875,1006.7,25.7,93,10,1.1
1876,1006.1,25.7,92,17,0.0
1877,1005.5,25.6,91,5,0.8
1878,1004.9,25.6,91,5,0.4
1879,1004.7,25.9,90,12,1.0
1880,1004.4,26.2,90,17,0.2
1881,1003.6,26.5,90,11,0.8
1882,1003.4,26.8,89,10,0.4
1883,1003.6,26.3,91,9,0.4
1884,1003.6,26.5,91,10,1.8
1885,1003.8,26.3,89,3,2.3
1886,1004.1,26.2,89,3,1.9
1887,1004.3,26.0,91,4,0.4
1888,1003.8,26.3,87,3,2.0
1889,1003.0,25.9,88,3,2.9
1890,1002.3,25.7,89,3,2.6
1891,1001.8,26.0,86,3,2.9
1892,1001.2,26.5,83,4,3.3
1893,1000.9,26.8,83,3,3.9
1894,1000.7,26.6,86,3,5.6
1895,1001.4,26.1,88,3,5.5
1896,1006.7,25.4,92,10,0.9
1897,1001.7,26.9,82,4,5.7
1898,1001.8,27.0,81,4,4.7
1899,1002.2,26.4,85,3,4.1
1900,1001.0,26.6,85,3,5.6
1901,1001.0,26.3,87,3,4.3
1902,1000.9,26.3,86,3,4.2
1903,1000.9,26.3,89,4,3.6
1904,999.9,27.1,86,3,3.9
1905,1000.1,26.0,91,2,2.9
1906,1000.0,26.6,88,3,3.1
1907,1000.5,26.3,90,3,4.0
1908,1000.9,26.6,89,3,3.7
1909,1001.8,26.5,87,3,5.0
1910,1002.4,26.0,88,3,3.7
1911,1002.7,25.9,89,3,5.0
1912,1002.6,25.8,87,4,3.6
1913,1002.3,25.9,90,4,3.3
1914,1001.4,25.7,90,3,2.8
1915,1000.9,25.9,87,3,3.3
1916,1000.7,25.7,88,3,3.2
1917,1000.8,25.8,88,3,4.0
1918,1000.9,25.7,88,3,3.4
1919,1001.8,25.6,89,3,4.3
1920,1002.1,26.8,83,4,3.4
1921,1002.8,25.3,87,3,3.8
1922,1003.6,25.0,88,3,5.1
1923,1003.5,25.3,85,3,4.9
1924,1003.8,25.1,87,3,4.3
1925,1003.4,25.3,85,3,7.0
1926,1002.5,25.3,85,3,4.5
1927,1002.5,25.4,85,3,5.8
1928,1003.0,25.0,87,3,4.1
1929,1003.0,24.8,87,3,4.9
1930,1003.6,24.6,88,3,6.1
1931,1004.2,24.7,88,4,4.2
1932,1005.1,24.6,87,3,3.8
1933,1006.1,24.3,86,3,4.8
1934,1007.0,24.2,85,3,6.0
1935,1007.5,24.4,84,3,4.3
1936,1007.2,24.4,84,3,5.2
1937,1007.0,24.4,83,3,5.2
1938,1006.5,25.0,80,3,5.4
1939,1006.2,24.5,82,3,4.2
1940,1005.9,25.2,80,3,3.9
1941,1006.3,24.9,82,3,4.5
1942,1006.8,24.9,84,4,4.3
1943,1007.0,25.6,82,4,4.8
1944,1002.5,25.5,89,4,3.5
1945,1008.1,25.8,84,3,4.8
1946,1008.5,25.3,88,4,3.2
1947,1008.5,25.5,87,5,3.1
1948,1008.3,25.8,85,4,3.1
1949,1007.7,25.3,88,4,3.7
1950,1007.3,25.6,88,5,3.4
1951,1006.9,25.6,87,3,5.3
1952,1006.8,26.3,86,3,4.2
1953,1006.2,25.9,87,3,3.9
1954,1006.3,26.2,87,3,3.5
1955,1006.6,26.1,86,3,4.3
1956,1007.2,26.3,88,3,2.9
1957,1008.0,25.3,92,2,1.4
1958,1008.5,26.0,87,3,3.4
1959,1008.9,25.8,88,4,3.0
1960,1008.8,25.7,88,4,2.7
1961,1008.8,25.6,88,4,1.9
1962,1008.7,25.6,86,3,3.3
1963,1008.0,25.3,86,3,3.4
1964,1008.3,24.9,87,3,2.7
1965,1008.7,24.7,84,3,4.1
1966,1009.1,25.1,87,3,3.4
1967,1009.5,24.7,87,4,2.9
1968,1007.7,25.6,84,3,4.5
1969,1009.9,26.2,82,3,4.5
1970,1010.2,25.8,83,3,4.9
1971,1010.1,25.9,82,3,3.9
1972,1009.8,27.1,77,3,3.7
1973,1009.2,27.1,79,3,4.0
1974,1008.6,28.1,76,4,5.5
1975,1007.9,28.7,79,4,4.0
1976,1007.5,28.9,79,3,3.7
1977,1007.7,27.6,85,4,3.4
1978,1007.0,32.0,61,3,4.2
1979,1007.4,32.4,58,3,6.2
1980,1008.0,32.5,60,4,3.4
1981,1008.8,31.1,64,3,4.5
1982,1009.8,30.3,68,3,4.8
1983,1009.9,28.2,78,4,3.6
1984,1009.8,29.6,75,3,3.5
1985,1009.4,28.3,78,4,3.4
1986,1009.0,27.6,80,3,3.4
1987,1008.4,28.3,76,3,4.1
1988,1008.3,28.9,72,3,3.7
1989,1007.9,29.0,71,3,3.7
1990,1008.0,29.1,70,3,4.0
1991,1008.3,29.2,68,3,4.5
1992,1009.8,24.8,86,3,3.7
1993,1009.1,29.4,68,3,4.3
1994,1009.4,29.5,66,3,4.4
1995,1009.4,29.5,69,4,4.8
1996,1009.2,29.5,71,3,4.3
1997,1008.9,29.5,71,3,4.7
1998,1008.6,29.9,69,4,4.5
1999,1008.4,30.6,65,4,5.2
2000,1008.0,32.3,61,4,4.1
2001,1007.5,33.3,57,3,3.6
2002,1007.7,33.2,58,3,4.6
2003,1008.5,32.9,58,4,4.6
2004,1009.1,32.5,60,3,5.7
2005,1009.5,31.4,67,5,2.8
2006,1009.8,31.9,63,5,4.8
2007,1010.3,30.8,67,4,4.2
2008,1010.0,29.6,73,3,2.7
2009,1009.4,28.0,80,3,2.5
2010,1009.1,27.8,78,5,2.4
2011,1008.6,28.1,77,3,2.5
2012,1008.1,28.6,70,3,3.3
2013,1008.2,28.3,74,3,3.4
2014,1008.4,28.7,70,3,3.4
2015,1008.7,28.6,73,3,3.3
2016,1008.6,29.3,68,3,6.0
2017,1009.6,29.1,68,3,3.5
2018,1009.7,29.4,69,3,3.7
2019,1009.8,29.7,65,4,3.3
2020,1009.6,29.9,64,4,3.9
2021,1008.6,30.2,63,4,3.5
2022,1008.0,30.5,62,3,3.6
2023,1007.9,31.1,60,4,3.7
2024,1007.7,32.4,56,4,3.4
2025,1007.6,32.6,59,5,4.1
2026,1007.8,33.2,57,5,3.7
2027,1008.1,32.0,60,5,4.7
2028,1008.2,33.5,56,4,6.1
2029,1008.7,32.7,57,4,5.4
2030,1009.7,32.4,60,4,4.7
2031,1009.7,31.5,64,4,4.6
2032,1010.0,30.1,71,4,3.5
2033,1009.8,28.6,76,4,2.9
2034,1009.6,28.2,77,3,3.3
2035,1009.2,28.3,76,4,3.4
2036,1009.1,28.1,78,3,4.3
2037,1009.4,28.1,78,3,3.9
2038,1009.8,28.1,79,3,4.4
2039,1010.3,28.0,78,3,3.5
2040,1009.2,28.6,74,3,4.0
2041,1010.9,28.2,80,3,3.9
2042,1010.4,27.9,81,3,3.7
2043,1010.4,28.1,77,3,4.8
2044,1009.8,27.9,83,3,5.3
2045,1009.7,27.7,84,3,3.9
2046,1009.6,27.6,85,3,5.3
2047,1009.3,27.5,86,3,4.8
2048,1008.9,27.4,87,3,4.0
2049,1008.5,29.4,79,3,7.3
2050,1008.8,29.5,80,3,5.9
2051,1009.4,29.0,79,3,6.1
2052,1010.0,30.9,73,3,6.1
2053,1011.0,29.0,82,3,4.9
2054,1011.8,27.9,79,3,4.8
2055,1012.1,28.9,74,3,5.8
2056,1011.6,27.5,78,4,5.4
2057,1011.2,26.8,79,3,4.4
2058,1010.8,26.5,80,3,5.3
2059,1010.7,26.6,79,3,5.2
2060,1010.0,26.6,80,3,4.6
2061,1010.6,26.5,80,3,3.2
2062,1011.2,26.9,79,3,4.9
2063,1011.3,26.8,80,3,3.3
2064,1010.4,28.0,81,3,3.9
2065,1011.9,26.8,78,4,3.0
2066,1012.2,26.8,77,3,3.7
2067,1012.6,26.8,77,3,4.0
2068,1011.8,26.7,82,3,3.2
2069,1011.1,26.5,82,3,4.3
2070,1010.8,26.2,85,3,4.3
2071,1010.7,26.6,79,3,5.9
2072,1010.4,28.3,73,3,5.5
2073,1010.3,28.8,72,3,6.0
2074,1010.6,28.3,77,3,5.4
2075,1011.4,26.6,83,3,3.7
2076,1011.8,26.7,84,3,4.1
2077,1012.4,26.3,85,3,4.3
2078,1012.7,26.3,82,3,4.0
2079,1012.4,27.2,78,3,4.1
2080,1012.3,26.9,81,3,3.7
2081,1011.7,26.4,84,3,3.2
2082,1011.4,26.4,85,3,4.4
2083,1010.7,26.5,86,3,3.1
2084,1010.2,26.4,87,3,2.8
2085,1010.2,26.8,85,3,2.7
2086,1010.8,27.5,81,3,4.2
2087,1010.7,27.5,82,3,3.2
2088,1011.7,26.9,78,3,4.1
2089,1010.7,27.6,81,5,2.0
2090,1011.1,27.3,82,3,3.1
2091,1011.0,27.0,85,3,3.3
2092,1010.9,26.8,83,4,4.3
2093,1009.8,27.6,81,3,5.3
2094,1009.4,28.0,78,3,4.6
2095,1008.6,29.1,74,3,5.8
2096,1008.4,30.1,69,3,6.6
2097,1008.4,30.4,68,3,5.1
2098,1008.7,30.7,68,3,6.4
2099,1009.3,29.8,72,3,6.1
2100,1010.1,29.3,73,3,6.0
2101,1010.6,30.0,73,3,4.9
2102,1011.3,28.5,76,3,4.5
2103,1011.3,28.1,80,3,3.7
2104,1011.1,27.6,81,3,2.8
2105,1011.0,27.5,79,3,3.2
2106,1010.5,27.4,80,3,3.4
2107,1010.2,27.5,80,3,2.8
2108,1010.1,27.3,81,3,3.8
2109,1009.9,27.3,80,3,3.4
2110,1009.8,27.4,79,3,4.0
2111,1010.3,27.5,78,3,2.8
2112,1010.6,27.8,80,3,3.0
2113,1010.9,27.6,77,3,4.5
2114,1010.8,27.7,76,3,4.4
2115,1010.9,27.7,75,3,3.0
2116,1010.7,27.8,74,3,4.4
2117,1009.8,27.9,73,3,5.5
2118,1009.0,28.2,71,3,6.1
2119,1008.7,28.6,68,3,4.8
2120,1008.7,29.8,64,3,5.3
2121,1008.6,30.7,61,3,4.6
2122,1008.9,31.1,61,3,4.3
2123,1009.2,30.9,61,3,5.7
2124,1010.0,30.1,63,3,4.8
2125,1010.5,29.9,63,3,5.6
2126,1011.2,29.3,66,3,6.0
2127,1012.0,28.4,71,3,4.2
2128,1011.9,27.3,75,4,3.5
2129,1011.6,26.3,78,3,3.8
2130,1011.2,25.8,80,3,4.1
2131,1011.0,25.9,78,5,2.3
2132,1010.8,25.7,79,3,2.9
2133,1011.5,25.6,80,3,3.8
2134,1011.9,25.5,81,3,4.0
2135,1012.3,25.5,82,3,4.2
2136,1010.7,27.6,77,3,4.1
2137,1013.0,25.7,82,3,3.8
2138,1013.2,25.7,81,3,4.1
2139,1013.2,25.8,83,3,4.1
2140,1012.8,25.8,84,3,3.7
2141,1012.0,25.5,86,3,3.2
2142,1011.9,25.7,84,3,4.2
2143,1011.5,25.9,85,4,3.2
2144,1011.5,26.4,85,3,4.0
2145,1011.3,26.7,83,3,3.9
2146,1011.7,26.4,84,3,3.6
2147,1012.3,27.8,74,3,4.1
2148,1013.1,28.0,73,4,3.9
2149,1013.7,28.0,77,4,3.7
2150,1013.4,29.0,75,3,3.8
2151,1013.6,27.2,84,3,3.2
2152,1013.4,25.6,86,3,2.8
2153,1013.1,25.0,88,5,0.9
2154,1012.2,26.4,75,5,1.8
2155,1011.6,26.7,72,4,2.4
2156,1011.0,26.8,74,3,4.3
2157,1011.2,26.5,77,3,3.4
2158,1011.5,26.5,77,3,5.0
2159,1011.5,26.7,77,3,3.6
2160,1012.6,25.5,81,4,3.7
2161,1012.5,27.1,79,3,4.2
2162,1012.6,27.1,81,3,3.6
2163,1011.8,27.3,81,3,4.9
2164,1011.3,27.8,78,3,5.3
2165,1010.5,28.5,76,3,4.8
2166,1009.7,29.1,74,3,4.3
2167,1009.2,29.8,71,3,4.6
2168,1008.9,31.2,66,3,3.6
2169,1008.5,31.8,63,3,5.1
2170,1008.3,32.8,61,2,4.6
2171,1008.6,33.3,58,3,4.5
2172,1009.3,32.8,57,3,4.4
2173,1009.8,33.6,58,2,3.1
2174,1010.4,34.5,54,1,2.4
2175,1010.5,31.3,65,6,1.6
2176,1010.2,29.6,72,5,0.7
2177,1009.8,28.3,70,7,1.1
2178,1009.3,27.9,71,8,1.7
2179,1009.1,28.1,70,5,1.4
2180,1008.6,28.8,71,9,0.9
2181,1008.3,28.8,72,9,1.0
2182,1008.2,28.7,71,7,1.2
2183,1008.6,29.1,70,7,1.2
2184,1012.0,27.2,77,3,3.8
2185,1008.8,29.7,70,8,2.3
2186,1008.4,30.0,70,8,2.1
2187,1008.3,30.9,67,8,1.0
2188,1007.9,31.2,63,4,1.1
2189,1007.4,31.5,61,3,1.1
2190,1006.8,31.8,63,15,0.8
2191,1005.9,33.1,56,15,1.9
2192,1005.6,35.5,50,14,0.3
2193,1005.6,35.3,50,14,0.9
2194,1005.8,36.0,49,14,0.9
2195,1006.7,35.3,49,13,1.0
2196,1007.4,35.0,52,14,0.8
2197,1008.3,34.1,54,11,0.7
2198,1008.9,34.0,59,11,0.3
2199,1009.3,31.2,68,9,0.9
2200,1009.3,29.4,71,9,1.0
2201,1008.9,28.1,71,8,2.5
2202,1008.1,27.9,71,8,1.3
2203,1007.8,28.0,70,9,1.0
2204,1007.4,28.4,71,7,1.3
2205,1007.1,29.1,74,10,1.3
2206,1007.4,29.0,74,9,1.3
2207,1007.8,29.1,69,8,0.8
2208,1008.8,29.3,70,6,0.9
2209,1008.3,30.0,62,8,1.4
2210,1008.3,30.3,58,4,1.6
2211,1008.4,30.6,60,4,2.6
2212,1007.9,30.5,59,6,1.7
2213,1007.1,30.8,60,6,1.9
2214,1006.6,31.4,60,5,3.1
2215,1006.3,32.7,57,6,2.5
2216,1006.2,34.4,53,14,0.7
2217,1006.3,35.0,51,14,0.8
2218,1006.6,34.9,51,14,2.3
2219,1007.2,35.7,50,15,2.5
2220,1008.1,35.1,45,12,0.4
2221,1009.4,35.8,45,1,1.1
2222,1010.2,33.7,49,10,0.8
2223,1010.2,32.7,53,2,0.6
2224,1010.2,30.5,61,5,0.5
2225,1009.8,28.7,68,9,0.9
2226,1009.5,28.7,67,6,1.1
2227,1009.3,28.6,67,5,1.8
2228,1009.1,28.9,67,4,1.7
2229,1009.2,28.6,69,4,0.8
2230,1009.6,29.1,66,5,1.6
2231,1010.2,29.2,65,6,1.5
2232,1008.2,29.8,65,9,1.2
2233,1011.1,29.5,66,4,1.9
2234,1011.4,29.4,68,4,2.7
2235,1011.3,29.4,68,4,2.6
2236,1010.8,29.6,65,3,3.0
2237,1010.1,29.9,62,4,3.5
2238,1009.7,30.4,58,4,3.7
2239,1009.6,31.3,58,4,3.4
2240,1009.3,31.9,57,3,4.1
2241,1009.2,32.3,55,5,4.1
2242,1009.5,32.9,53,5,4.4
2243,1010.0,32.7,54,5,5.6
2244,1010.9,32.6,56,4,4.0
2245,1011.7,32.0,57,5,3.6
2246,1011.7,31.7,61,3,3.7
2247,1011.6,30.3,64,3,4.6
2248,1011.0,29.2,67,3,5.0
2249,1010.7,28.1,70,3,5.6
2250,1011.0,27.5,69,3,5.3
2251,1011.2,27.7,65,4,2.8
2252,1011.0,27.2,72,3,4.5
2253,1010.8,27.4,72,3,3.0
2254,1011.1,27.4,72,3,4.3
2255,1011.8,27.8,69,4,3.2
2256,1010.7,29.3,68,4,2.7
2257,1012.0,27.8,71,3,2.4
2258,1012.6,28.2,77,3,3.3
2259,1012.5,28.6,76,3,3.8
2260,1012.0,28.6,75,3,4.3
2261,1011.1,28.6,74,3,4.8
2262,1010.3,28.6,74,3,5.9
2263,1009.5,29.0,74,3,5.5
2264,1009.1,29.5,72,3,6.7
2265,1009.0,30.3,67,3,6.6
2266,1009.0,29.7,70,3,6.4
2267,1009.6,30.4,67,3,6.6
2268,1010.2,30.6,69,3,5.3
2269,1010.6,30.2,74,2,4.6
2270,1011.2,29.1,74,3,3.8
2271,1011.1,29.5,63,3,3.5
2272,1010.7,28.3,65,3,2.6
2273,1009.7,28.1,66,3,2.6
2274,1008.8,28.0,66,3,4.9
2275,1007.9,27.9,66,3,2.9
2276,1007.4,28.0,65,3,4.3
2277,1007.3,27.7,65,3,2.3
2278,1007.7,27.4,66,4,2.4
2279,1009.1,27.8,65,2,1.7
2280,1011.8,27.6,72,3,3.2
2281,1009.3,29.0,63,2,2.6
2282,1008.7,29.6,61,4,2.5
2283,1008.8,29.7,61,3,2.4
2284,1008.2,30.2,59,2,2.2
2285,1007.5,30.4,56,5,1.6
2286,1006.8,30.5,58,3,2.7
2287,1006.1,31.0,58,3,2.3
2288,1005.3,32.0,55,16,1.6
2289,1005.0,33.6,53,15,1.7
2290,1005.0,34.9,53,14,1.2
2291,1005.3,34.7,54,15,1.5
2292,1005.8,33.9,55,15,1.2
2293,1006.3,34.7,53,14,0.6
2294,1006.8,33.3,56,5,0.9
2295,1007.1,31.1,60,6,0.7
2296,1007.2,29.3,59,8,1.7
2297,1007.1,28.2,61,7,2.0
2298,1006.1,28.0,60,8,2.2
2299,1005.5,28.0,60,8,1.6
2300,1005.4,28.4,59,8,1.5
2301,1005.3,28.7,59,5,1.1
2302,1005.5,29.2,58,7,0.5
2303,1005.7,29.3,59,7,0.8
2304,1009.7,28.1,67,3,2.0
2305,1005.8,30.3,56,8,0.9
2306,1005.7,30.6,56,7,0.9
2307,1005.5,31.5,54,8,1.5
2308,1005.0,31.8,53,1,1.5
2309,1004.5,32.2,54,16,1.6
2310,1003.7,32.6,54,15,1.9
2311,1003.1,34.0,51,14,1.2
2312,1002.8,35.9,48,15,1.6
2313,1003.0,36.4,47,14,1.7
2314,1003.0,37.6,43,15,1.5
2315,1003.6,37.4,40,12,2.2
2316,1004.4,36.8,45,11,1.7
2317,1005.5,36.0,47,13,1.8
2318,1006.2,34.1,52,12,1.8
2319,1007.0,32.4,55,10,2.5
2320,1006.9,30.1,59,9,0.6
2321,1006.6,28.0,60,8,1.7
2322,1006.3,27.7,61,6,1.3
2323,1005.8,27.9,61,8,1.6
2324,1005.8,28.5,60,8,1.4
2325,1005.6,28.8,61,8,1.4
2326,1006.1,29.0,59,8,1.3
2327,1006.1,29.4,60,8,1.8
2328,1006.0,30.0,57,8,1.2
2329,1006.9,30.1,59,8,1.2
2330,1007.3,30.6,59,8,2.5
2331,1006.9,31.6,55,10,0.9
2332,1006.6,32.1,53,17,0.1
2333,1006.0,32.3,53,14,0.6
2334,1005.4,32.6,51,15,1.2
2335,1005.1,33.7,49,14,0.9
2336,1005.0,34.8,50,16,2.1
2337,1004.9,36.1,49,14,1.4
2338,1005.2,35.9,51,16,2.5
2339,1006.1,36.7,51,15,1.7
2340,1006.6,35.9,49,11,1.1
2341,1007.6,34.7,52,9,0.5
2342,1008.0,32.8,55,11,1.6
2343,1008.5,31.4,59,9,1.4
2344,1008.3,29.7,62,9,0.7
2345,1008.0,27.7,63,8,1.4
2346,1007.6,27.4,64,7,1.3
2347,1006.7,27.5,64,6,1.1
2348,1006.4,28.0,63,8,1.8
2349,1006.1,28.5,63,8,1.4
2350,1006.1,28.5,64,6,1.0
2351,1006.7,29.1,63,6,1.0
2352,1006.5,29.8,59,8,1.6
2353,1007.5,30.1,61,11,0.9
2354,1008.0,30.3,62,8,1.5
2355,1008.5,30.8,60,17,0.2
2356,1008.1,30.9,60,15,0.8
2357,1007.4,31.0,60,13,0.3
2358,1007.2,31.4,60,13,0.6
2359,1006.6,31.9,58,15,2.3
2360,1006.1,32.8,58,14,1.6
2361,1006.0,32.8,59,15,2.7
2362,1006.3,33.9,58,16,2.0
2363,1006.7,34.5,57,16,1.9
2364,1007.5,35.3,56,14,1.8
2365,1008.2,34.0,52,13,1.6
2366,1008.6,33.1,55,11,1.8
2367,1009.2,31.2,58,9,1.3
2368,1009.1,29.5,60,7,1.2
2369,1009.2,27.6,61,7,1.7
2370,1008.7,27.4,61,9,0.8
2371,1007.9,27.5,61,6,0.8
2372,1007.7,27.9,60,8,1.7
2373,1007.8,27.9,61,6,0.5
2374,1007.9,28.2,60,7,1.9
2375,1008.3,28.5,60,8,2.5
2376,1007.1,29.4,63,8,1.6
2377,1008.9,29.1,59,8,2.7
2378,1008.7,29.0,58,8,2.1
2379,1008.6,29.2,57,8,3.2
2380,1008.3,29.8,58,8,1.1
2381,1007.6,30.6,57,10,1.1
2382,1007.3,32.3,54,17,0.2
2383,1006.4,32.4,55,15,1.0
2384,1006.1,33.4,57,15,1.6
2385,1005.3,34.5,57,15,2.0
2386,1005.6,35.2,55,16,1.9
2387,1006.4,34.7,57,15,2.5
2388,1007.1,35.6,54,13,0.4
2389,1007.9,33.4,59,13,1.3
2390,1008.3,33.6,58,10,1.3
2391,1008.4,32.1,61,10,0.4
2392,1008.4,30.4,62,5,0.3
2393,1008.1,29.2,62,8,1.6
2394,1007.5,29.1,64,9,1.6
2395,1007.4,29.3,63,9,1.5
2396,1006.9,29.5,64,9,1.1
2397,1006.7,29.9,61,8,2.4
2398,1006.7,30.6,59,6,1.9
2399,1007.1,30.7,59,4,1.3
2400,1008.7,29.0,59,7,1.4
2401,1008.2,30.9,59,4,1.9
2402,1008.5,31.0,59,6,1.4
2403,1008.6,31.2,60,6,1.8
2404,1008.1,31.4,59,5,2.5
2405,1007.2,31.9,58,5,2.2
2406,1006.6,33.4,52,11,0.8
2407,1006.3,34.0,52,13,2.2
2408,1005.8,35.2,52,13,1.0
2409,1005.7,35.9,52,14,1.6
2410,1005.8,35.9,53,4,1.5
2411,1006.5,35.4,52,4,2.2
2412,1007.0,35.6,51,3,0.7
2413,1007.9,34.1,54,5,1.0
2414,1008.6,34.0,55,4,2.0
2415,1009.1,32.4,61,7,1.2
2416,1009.2,30.9,63,6,1.5
2417,1008.9,29.7,62,5,0.9
2418,1008.1,29.1,62,4,1.7
2419,1007.7,29.4,61,3,1.9
2420,1007.4,29.7,61,3,3.3
2421,1007.1,29.7,61,4,2.7
2422,1007.3,29.5,63,3,3.1
2423,1007.5,29.5,64,3,4.3
2424,1007.5,30.8,58,5,0.9
2425,1008.4,29.7,64,3,3.5
2426,1008.2,29.8,64,3,3.6
2427,1008.1,29.9,64,3,4.3
2428,1007.5,30.0,63,3,2.6
2429,1007.1,30.3,63,3,3.3
2430,1006.7,30.5,62,3,3.8
2431,1006.0,31.3,58,3,4.6
2432,1005.7,32.7,57,3,4.5
2433,1005.7,34.1,55,3,2.7
2434,1005.7,33.8,56,2,2.7
2435,1006.1,33.7,57,2,1.5
2436,1006.7,35.3,53,14,1.1
2437,1007.6,33.1,57,3,0.4
2438,1007.8,32.4,58,10,0.7
2439,1008.1,31.5,60,17,0.2
2440,1007.7,30.0,64,6,0.6
2441,1007.4,28.7,65,8,1.2
2442,1006.7,28.0,65,8,1.3
2443,1006.3,28.2,64,7,0.3
2444,1006.1,28.2,64,8,1.8
2445,1006.2,28.7,64,7,1.1
2446,1006.4,28.8,63,7,1.1
2447,1006.4,29.0,63,8,0.7
2448,1008.0,29.7,63,3,3.3
2449,1006.2,29.6,65,9,1.1
2450,1006.5,29.5,66,4,1.2
2451,1006.0,29.8,63,3,1.6
2452,1005.6,30.0,63,5,1.6
2453,1004.5,30.6,62,1,2.6
2454,1004.1,31.1,59,2,1.6
2455,1003.8,31.6,58,3,4.2
2456,1003.4,33.5,48,15,1.0
2457,1003.4,35.1,42,16,1.4
2458,1003.6,34.7,49,16,1.5
2459,1004.2,34.6,50,16,1.4
2460,1004.7,33.5,57,15,1.6
2461,1005.3,33.6,58,14,0.5
2462,1005.5,32.7,56,10,0.7
2463,1005.5,31.5,59,11,0.7
2464,1005.9,29.6,61,9,1.5
2465,1005.9,28.2,63,10,1.2
2466,1005.3,28.1,61,8,1.5
2467,1004.8,28.1,61,8,1.1
2468,1004.3,28.4,61,8,1.9
2469,1004.5,28.8,62,10,1.1
2470,1004.9,29.3,60,10,1.3
2471,1005.2,29.5,61,8,1.8
2472,1006.3,29.3,62,7,1.6
2473,1006.0,30.4,60,7,0.8
2474,1005.9,30.6,59,6,1.3
2475,1006.5,30.6,59,5,1.1
2476,1006.2,30.7,60,6,1.8
2477,1005.3,30.7,60,3,1.6
2478,1004.4,31.3,58,2,1.7
2479,1004.1,32.3,56,3,0.5
2480,1004.2,33.4,53,13,0.4
2481,1004.1,33.9,52,14,1.0
2482,1004.6,34.4,56,14,1.3
2483,1004.8,34.8,52,15,1.5
2484,1005.6,35.7,47,15,0.6
2485,1006.3,34.9,40,12,0.4
2486,1006.7,32.7,55,10,0.6
2487,1007.1,30.9,60,10,0.6
2488,1006.6,29.3,63,11,0.7
2489,1006.4,28.0,65,9,1.0
2490,1005.9,27.7,62,10,0.5
2491,1006.1,27.7,63,6,0.8
2492,1005.8,27.8,64,8,1.6
2493,1005.3,28.3,62,8,1.4
2494,1005.7,28.4,64,17,0.0
2495,1006.3,28.7,63,7,1.5
2496,1005.4,30.3,60,8,1.4
2497,1007.5,28.9,62,5,1.7
2498,1007.6,29.6,60,8,1.9
2499,1007.6,30.0,59,6,1.4
2500,1007.3,30.4,58,7,2.2
2501,1006.6,30.6,56,5,2.1
2502,1006.0,31.2,55,6,1.7
2503,1005.5,32.3,53,5,2.5
2504,1004.8,33.5,56,12,0.9
2505,1004.4,34.6,53,14,0.6
2506,1004.6,33.2,53,16,1.8
2507,1005.4,34.8,53,3,1.9
2508,1006.4,34.4,51,3,1.1
